username,repo_name,url,stars
localstack,localstack,https://github.com/localstack/localstack,43.5k
serverless,serverless,https://github.com/serverless/serverless,43.4k
bregman-arie,devops-exercises,https://github.com/bregman-arie/devops-exercises,29.4k
donnemartin,data-science-ipython-notebooks,https://github.com/donnemartin/data-science-ipython-notebooks,23.6k
pulumi,pulumi,https://github.com/pulumi/pulumi,13.6k
ramitsurana,awesome-kubernetes,https://github.com/ramitsurana/awesome-kubernetes,13.1k
aws,aws-cli,https://github.com/aws/aws-cli,12.9k
kubernetes-sigs,kubespray,https://github.com/kubernetes-sigs/kubespray,12.9k
mozilla,sops,https://github.com/mozilla/sops,10.7k
donnemartin,awesome-aws,https://github.com/donnemartin/awesome-aws,10.7k
apereo,cas,https://github.com/apereo/cas,9.7k
caprover,caprover,https://github.com/caprover/caprover,9.2k
aws,chalice,https://github.com/aws/chalice,9.2k
aws,aws-cdk,https://github.com/aws/aws-cdk,9.2k
aws-amplify,amplify-js,https://github.com/aws-amplify/amplify-js,8.9k
aws,serverless-application-model,https://github.com/aws/serverless-application-model,8.7k
angristan,openvpn-install,https://github.com/angristan/openvpn-install,8.6k
serverless-stack,sst,https://github.com/serverless-stack/sst,8.6k
apex,up,https://github.com/apex/up,8.6k
GoogleCloudPlatform,terraformer,https://github.com/GoogleCloudPlatform/terraformer,8.6k
