username,repo_name,url,stars
amphp,amp,https://github.com/amphp/amp,3.7k
danog,MadelineProto,https://github.com/danog/MadelineProto,2.1k
amphp,http-server,https://github.com/amphp/http-server,1.2k
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,731
amphp,http-client,https://github.com/amphp/http-client,626
amphp,parallel,https://github.com/amphp/parallel,598
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,331
amphp,byte-stream,https://github.com/amphp/byte-stream,300
amphp,mysql,https://github.com/amphp/mysql,286
amphp,parallel-functions,https://github.com/amphp/parallel-functions,232
amphp,process,https://github.com/amphp/process,188
amphp,socket,https://github.com/amphp/socket,168
amphp,redis,https://github.com/amphp/redis,131
amphp,dns,https://github.com/amphp/dns,123
amphp,sync,https://github.com/amphp/sync,116
kelunik,acme,https://github.com/kelunik/acme,115
amphp,websocket-client,https://github.com/amphp/websocket-client,108
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
amphp,websocket-server,https://github.com/amphp/websocket-server,84
amphp,serialization,https://github.com/amphp/serialization,81
